City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
510,Tessalit,GA,89.49,broken clouds,20.1986,1.0114,
511,Natal,GA,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
514,Isangel,GA,79.09,clear sky,-19.55,169.2667,Tanna Lodge
515,Xianshuigu,GA,78.8,clear sky,38.985,117.3828,Guangchuan Hotel
519,Manavalakurichi,GA,77.49,overcast clouds,8.1333,77.3,Jebinrio home
523,Cockburn Town,GA,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
524,Terrace,GA,75.11,few clouds,54.5163,-128.6035,Northern Motor Inn
526,Manacapuru,GA,77.7,moderate rain,-3.2997,-60.6206,Novo Hotel
528,Punta De Piedra,GA,77.11,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
529,Jodhpur,GA,84.24,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
530,Amahai,GA,75.49,broken clouds,-3.3333,128.9167,HOTEL ISABELA
532,Pastos Bons,GA,80.08,scattered clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
534,Alofi,GA,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
536,Fort Saint James,GA,76.68,scattered clouds,54.4333,-124.25,The View Hotel
537,Lethem,GA,79.74,overcast clouds,3.3803,-59.7968,Savannah Inn
538,Mogadishu,GA,75.81,broken clouds,2.0371,45.3438,Hotel Juba
540,Lixourion,GA,82.4,clear sky,38.2019,20.4314,Hotel Summery
543,Iracoubo,GA,78.24,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
546,Olinda,GA,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
551,Uruzgan,GA,79.03,clear sky,32.8333,66.0,
552,Sarishabari,GA,80.98,moderate rain,24.7333,89.8333,Bangali Telecom
555,Gat,GA,77.68,clear sky,31.61,34.7642,OlusHome
561,Ahuimanu,GA,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
562,Sioux Lookout,GA,77.07,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
570,Buchanan,GA,76.15,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
571,Balingasay,GA,82.49,broken clouds,16.3573,119.8564,Rock Garden Resort
572,Cayenne,GA,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
573,Wanning,GA,79.27,few clouds,18.8003,110.3967,Paradise Hotel
581,Leiyang,GA,78.3,few clouds,26.4024,112.8591,Dongyang Hotel
582,Muroto,GA,79.74,few clouds,33.2833,134.15,Oota Ryokan
