City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
191,Axim,GA,4.8699,-2.2405,73.92,74,43,6.89,scattered clouds
192,Tarare,GA,45.8976,4.4327,72.93,65,0,1.88,clear sky
193,Mugla,GA,37.2303,28.3557,65.97,41,0,7.25,clear sky
194,Upernavik,GA,72.7868,-56.1549,45.32,96,100,13.76,overcast clouds
195,Ribeira Brava,GA,32.65,-17.0667,71.71,83,3,7.72,clear sky
196,Abay,GA,49.6311,72.8539,53.98,61,47,2.46,scattered clouds
197,Lebu,GA,-37.6167,-73.65,51.03,89,99,10.09,light rain
198,Shar,GA,49.5886,81.0453,66.96,87,84,7.02,broken clouds
199,Komsomolskiy,GA,40.4272,71.7189,79.52,38,0,6.91,clear sky
200,Victoria,GA,22.2855,114.1577,86.18,81,0,1.99,clear sky
201,East London,GA,-33.0153,27.9116,58.93,77,3,6.69,clear sky
202,Bom Jesus,GA,-9.0744,-44.3586,78.62,35,22,5.19,few clouds
203,Salina,GA,38.8403,-97.6114,103.01,29,0,17.27,clear sky
204,Celestun,GA,20.8667,-90.4,85.41,69,3,15.95,clear sky
205,Khanpur,GA,28.6453,70.6567,84.79,73,100,8.01,moderate rain
206,Saskylakh,GA,71.9167,114.0833,49.69,68,100,7.18,overcast clouds
207,Bredasdorp,GA,-34.5322,20.0403,47.44,87,100,2.28,overcast clouds
208,Sumbawanga,GA,-7.9667,31.6167,57.7,63,83,4.5,broken clouds
209,Ouesso,GA,1.6136,16.0517,70.63,97,90,1.63,light rain
210,Yulara,GA,-25.2406,130.9889,47.71,43,0,6.49,clear sky
211,Impfondo,GA,1.6381,18.0667,71.82,97,90,2.44,moderate rain
212,Havre-Saint-Pierre,GA,50.2334,-63.5986,62.96,72,100,8.05,overcast clouds
213,Xiamen,GA,24.4798,118.0819,83.25,84,5,4.63,clear sky
214,Aripuana,GA,-9.1667,-60.6333,83.12,43,9,1.23,clear sky
215,Nalut,GA,30.3333,10.85,83.97,21,0,10.4,clear sky
216,Yerofey Pavlovich,GA,53.9667,121.9667,65.59,89,39,1.99,scattered clouds
217,Kaitangata,GA,-46.2817,169.8464,44.08,88,96,2.64,overcast clouds
218,Acapulco,GA,16.8634,-99.8901,87.62,74,40,6.91,scattered clouds
219,Fort Nelson,GA,58.8053,-122.7002,66.79,38,83,12.66,broken clouds
220,Mongo,GA,12.1844,18.693,80.74,72,98,2.06,light rain
221,Thompson,GA,55.7435,-97.8558,59.4,76,100,7,overcast clouds
222,Bam,GA,29.106,58.357,91.49,17,20,6.55,few clouds
223,San Quintin,GA,30.4833,-115.95,74.17,69,100,16.24,overcast clouds
224,Gorontalo,GA,0.5412,123.0595,73.58,94,18,2.26,few clouds
225,Houma,GA,29.5958,-90.7195,84.99,84,75,1.99,broken clouds
226,Narsaq,GA,60.9167,-46.05,59.22,78,13,6.64,few clouds
227,Ambovombe,GA,-25.1667,46.0833,66.7,69,0,2.8,clear sky
228,Tual,GA,-5.6667,132.75,78.53,70,95,19.35,overcast clouds
229,Sorong,GA,-0.8833,131.25,77.97,89,15,10.83,few clouds
230,Bulawayo,GA,-20.15,28.5833,54.43,76,55,8.95,broken clouds
231,Yumen,GA,40.2833,97.2,67.15,26,0,7.83,clear sky
232,Lagoa,GA,39.05,-27.9833,72.16,88,95,4.23,overcast clouds
233,Lasa,GA,46.6166,10.7002,71.37,86,48,2.51,scattered clouds
234,Ianca,GA,45.1333,27.45,67.57,30,0,5.61,clear sky
235,Kontagora,GA,10.3999,5.4695,74.66,87,100,2.1,overcast clouds
236,Dire Dawa,GA,9.5931,41.8661,72.46,61,39,18.66,scattered clouds
237,Tiznit,GA,29.5833,-9.5,89.35,21,30,2.33,scattered clouds
238,Rio Pardo De Minas,GA,-15.6097,-42.5397,65.73,49,8,5.03,clear sky
239,Ugoofaaru,GA,5.6667,73,82.27,74,100,18.57,overcast clouds
240,Karangampel,GA,-6.4622,108.4519,77.63,78,77,8.21,broken clouds
241,Te Anau,GA,-45.4167,167.7167,37.53,93,61,0.94,broken clouds
242,Faya,GA,18.3851,42.4509,64.92,56,84,3.4,broken clouds
243,Aden,GA,12.7794,45.0367,82.4,72,54,12.08,broken clouds
244,Taoudenni,GA,22.6783,-3.9836,89.8,42,54,16.51,light rain
245,Caxito,GA,-8.5785,13.6643,65.71,91,32,2.8,scattered clouds
246,Saint-Francois,GA,46.4154,3.9054,65.64,77,0,2.3,clear sky
247,Boli,GA,45.7667,130.5167,65.32,99,57,3.11,broken clouds
248,Zaozerne,GA,45.1582,33.2787,71.02,66,0,12.48,clear sky
249,Sisimiut,GA,66.9395,-53.6735,48.33,83,99,12.1,overcast clouds
250,Ushtobe,GA,45.2514,77.9838,76.75,27,0,6.8,clear sky
251,Elko,GA,41.0002,-115.5012,97.74,10,5,15.99,clear sky
252,Raga,GA,8.4596,25.678,68.52,96,100,2.06,overcast clouds
253,Esso,GA,55.9333,158.7,67.14,72,13,7.27,few clouds
254,Praia Da Vitoria,GA,38.7333,-27.0667,73.76,90,95,1.83,overcast clouds
255,Candolim,GA,15.5181,73.7626,79.32,84,100,8.14,overcast clouds
256,Pevek,GA,69.7008,170.3133,32.16,100,100,10.63,snow
257,Belmonte,GA,-15.8631,-38.8828,71.73,86,70,5.84,broken clouds
258,Teacapan,GA,22.55,-105.75,90.27,65,11,9.35,few clouds
259,Tarko-Sale,GA,64.9225,77.785,47.03,78,99,8.12,overcast clouds
260,Cairns,GA,-16.9167,145.7667,70.07,90,4,1.14,clear sky
261,Pimentel,GA,-6.8367,-79.9342,68.29,64,0,16.11,clear sky
262,Gumrak,GA,48.7826,44.3824,58.91,72,0,0,clear sky
263,Novosokolniki,GA,56.3463,30.1578,57.43,93,18,2.82,few clouds
264,Bumba,GA,2.1833,22.4667,71.58,95,96,0.31,light rain
265,Bela,GA,25.9333,81.9833,83.64,77,100,5.26,overcast clouds
266,Lewiston,GA,44.1003,-70.2148,79.9,89,20,9.22,few clouds
267,Dingle,GA,10.9995,122.6711,77.36,92,100,5.97,overcast clouds
268,Morehead,GA,37.2711,-87.1764,91.85,49,0,5.75,clear sky
269,Temyasovo,GA,52.9933,58.1014,52.48,88,67,2.89,broken clouds
270,Saint George,GA,37.1041,-113.5841,112.62,11,0,11.01,clear sky
271,Pandan,GA,14.0453,124.1694,81.27,85,21,6.24,few clouds
272,Ambilobe,GA,-13.2,49.05,65.39,73,25,4.99,scattered clouds
273,Andenes,GA,69.3143,16.1194,53.92,87,100,3.44,overcast clouds
274,Sao Joao Da Barra,GA,-21.6403,-41.0511,70.3,84,6,10.13,clear sky
275,Dubbo,GA,-32.25,148.6167,46.53,87,50,12.66,scattered clouds
276,Mitchell,GA,43.7094,-98.0298,89.58,29,0,0,clear sky
277,Great Falls,GA,47.5002,-111.3008,92.66,12,0,13.11,clear sky
278,Waingapu,GA,-9.6567,120.2641,73.6,83,93,12.03,overcast clouds
279,Tupelo,GA,34.2576,-88.7034,97.09,56,40,9.22,scattered clouds
280,Tautira,GA,-17.7333,-149.15,75.16,77,19,9.8,light rain
281,Chimoio,GA,-19.1164,33.4833,57.65,95,33,2.37,light rain
282,Juneau,GA,58.3019,-134.4197,60.22,95,100,8.05,light rain
283,Saviese,GA,46.2511,7.3456,72.3,53,0,6.91,clear sky
284,Yenagoa,GA,4.9247,6.2642,74.55,89,87,3.24,overcast clouds
285,Husavik,GA,66.0449,-17.3389,50.31,80,84,3.85,broken clouds
286,Altamira,GA,-3.2033,-52.2064,79.39,67,98,0.85,overcast clouds
287,Talpa,GA,28.8257,-111.6257,110.16,33,2,5.01,clear sky
288,Golden,GA,39.7555,-105.2211,96.15,22,76,7,broken clouds
289,Cherskiy,GA,68.75,161.3,45.05,50,99,11.59,overcast clouds
290,Klaksvik,GA,62.2266,-6.589,49.12,88,34,3,scattered clouds
291,Florianopolis,GA,-27.6146,-48.5012,65.7,83,0,14.97,clear sky
292,Yashkino,GA,55.8736,85.4265,56.21,99,100,9.28,light rain
293,Dharchula,GA,29.85,80.5333,72,94,100,1.05,overcast clouds
294,Longyearbyen,GA,78.2186,15.6401,49.84,87,75,3.44,broken clouds
295,Faanui,GA,-16.4833,-151.75,77.47,73,11,11.14,few clouds
296,Jinchang,GA,38.4953,102.1739,59.34,50,0,8.46,clear sky
297,Noumea,GA,-22.2763,166.4572,78.78,99,47,10.09,scattered clouds
298,Jining,GA,35.405,116.5814,73.87,83,43,3.76,scattered clouds
299,Port Stanley,GA,-51.7,-57.85,28.69,76,60,14.67,broken clouds
300,Carutapera,GA,-1.195,-46.02,76.6,88,60,7.56,broken clouds
301,Changping,GA,40.2186,116.2197,74.84,69,96,1.52,overcast clouds
302,Lompoc,GA,34.6391,-120.4579,89.78,68,0,16.11,clear sky
303,Tirano,GA,46.2154,10.1679,78.4,42,6,4.21,clear sky
304,Matoury,GA,4.8483,-52.3317,83.01,83,20,1.14,few clouds
305,Qui Nhon,GA,13.7667,109.2333,76.33,86,100,4.32,overcast clouds
306,Palmer,GA,42.1584,-72.3287,88.41,59,20,16.11,few clouds
307,Bang Saphan,GA,11.2126,99.5117,75.07,93,100,2.64,light rain
308,Savannah Bight,GA,16.45,-85.85,82.78,79,16,20.15,few clouds
309,Zhob,GA,31.3411,69.4481,76.75,64,100,1.81,overcast clouds
310,Alihe,GA,50.5667,123.7167,65.44,96,25,1.77,scattered clouds
311,Tabas,GA,33.5959,56.9244,91.06,11,0,5.03,clear sky
312,Huntsville,GA,34.7304,-86.5861,96.4,63,40,6.91,scattered clouds
313,Sherlovaya Gora,GA,50.5667,116.25,64.92,76,51,5.57,broken clouds
314,Camana,GA,-16.6228,-72.7111,61.5,81,84,6.93,broken clouds
315,Bechem,GA,7.0903,-2.025,72.86,81,97,0.83,overcast clouds
