City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Faanui,PF,2022-07-19 22:08:24,-16.4833,-151.75,77.67,67,12,6.04
136,Yulara,AU,2022-07-19 22:09:25,-25.2406,130.9889,47.16,55,0,9.89
137,Torbay,CA,2022-07-19 22:09:25,47.6666,-52.7314,68.4,84,100,5.01
138,Norman Wells,CA,2022-07-19 22:09:26,65.282,-126.8329,62.47,55,100,5.21
139,Natchitoches,US,2022-07-19 22:09:27,31.7668,-93.1335,99.45,46,40,8.05
140,Turayf,SA,2022-07-19 22:09:27,31.6725,38.6637,87.71,23,0,15.08
141,Kieta,PG,2022-07-19 22:09:28,-6.2167,155.6333,81.52,75,58,3.76
142,Nouadhibou,MR,2022-07-19 22:09:28,20.931,-17.0347,67.3,95,26,16.53
143,Kimbe,PG,2022-07-19 22:09:29,-5.5502,150.1429,77.52,87,100,2.21
144,Luderitz,NA,2022-07-19 22:09:30,-26.6481,15.1594,57.52,67,1,17.96
145,Lagoa,PT,2022-07-19 22:09:31,39.05,-27.9833,70.72,93,0,10.92
146,Tengzhou,CN,2022-07-19 22:09:31,35.0771,117.1518,72.19,91,100,8.41
147,Mehamn,NO,2022-07-19 22:09:32,71.0357,27.8492,53.51,100,100,5.75
148,Uglovskoye,RU,2022-07-19 22:09:32,51.3557,80.1942,58.06,77,25,3.89
149,Tonekabon,IR,2022-07-19 22:09:33,36.8163,50.8738,79.9,80,0,5.17
150,Bonavista,CA,2022-07-19 22:09:34,48.6499,-53.1147,63.09,92,100,12.93
151,Barreirinhas,BR,2022-07-19 22:09:34,-2.7469,-42.8264,77.43,77,57,6.71
152,Grand Gaube,MU,2022-07-19 22:09:35,-20.0064,57.6608,66.38,74,49,8.99
153,Comodoro Rivadavia,AR,2022-07-19 22:09:35,-45.8667,-67.5,51.66,54,0,24.16
154,Derzhavinsk,KZ,2022-07-19 22:09:36,51.1,66.3167,74.55,42,79,14.09
155,Longyearbyen,SJ,2022-07-19 22:09:37,78.2186,15.6401,51.64,82,75,10.36
156,Georgetown,MY,2022-07-19 22:04:41,5.4112,100.3354,78.89,92,20,0.0
157,Villazon,BO,2022-07-19 22:09:38,-22.0866,-65.5942,54.66,17,87,4.36
158,Makasar,ID,2022-07-19 22:09:38,-5.14,119.4221,76.55,81,92,3.91
159,Damghan,IR,2022-07-19 22:09:39,36.1683,54.348,79.7,44,0,3.8
160,Vila Velha,BR,2022-07-19 22:09:39,-20.3297,-40.2925,73.35,88,40,3.44
161,Moree,AU,2022-07-19 22:09:40,-29.4667,149.85,49.32,71,63,9.46
162,Bhimunipatnam,IN,2022-07-19 22:09:40,17.8833,83.4333,81.7,80,92,8.57
163,Kuytun,RU,2022-07-19 22:09:41,54.3419,101.5036,47.91,93,40,3.36
164,Tecoanapa,MX,2022-07-19 22:09:42,16.5167,-98.75,87.66,70,61,10.36
165,Arcoverde,BR,2022-07-19 22:09:42,-8.4189,-37.0539,63.73,95,66,7.45
166,Nanortalik,GL,2022-07-19 22:05:40,60.1432,-45.2371,47.8,93,100,9.15
167,Khani,GE,2022-07-19 22:09:43,41.9563,42.9566,56.77,99,99,1.59
168,Esperance,AU,2022-07-19 22:09:43,-33.8667,121.9,51.64,88,96,12.66
169,Barra Do Garcas,BR,2022-07-19 22:09:44,-15.89,-52.2567,76.87,30,33,2.26
170,Khatanga,RU,2022-07-19 22:09:45,71.9667,102.5,43.03,61,100,17.58
171,Birin,NP,2022-07-19 22:09:45,26.8865,88.0718,64.6,91,100,3.29
172,Wamba,NG,2022-07-19 22:09:46,8.9333,8.6,70.81,93,54,2.93
173,Severobaykalsk,RU,2022-07-19 22:09:46,55.65,109.3167,51.84,91,65,1.83
174,Mitchell,US,2022-07-19 22:09:47,43.7094,-98.0298,91.38,27,0,26.46
175,Mount Gambier,AU,2022-07-19 22:05:48,-37.8333,140.7667,33.98,90,0,4.05
176,Motygino,RU,2022-07-19 22:09:48,58.1831,94.7592,53.76,99,100,5.14
177,Peniche,PT,2022-07-19 22:09:48,39.3558,-9.3811,68.29,85,0,16.78
178,Patria,PH,2022-07-19 22:09:49,11.7403,122.0171,78.71,86,46,2.86
179,Bure,ET,2022-07-19 22:09:50,10.7,37.0667,56.12,96,100,1.7
180,Langarud,IR,2022-07-19 22:09:50,37.197,50.1535,78.35,70,0,6.51
181,Tugulym,RU,2022-07-19 22:09:51,57.0591,64.6425,64.72,99,100,5.3
182,Sayansk,RU,2022-07-19 22:09:51,54.1088,102.1648,47.93,96,100,1.5
183,Asau,RO,2022-07-19 22:08:14,46.4333,26.4,69.28,53,94,1.99
184,Dawson Creek,CA,2022-07-19 22:10:52,55.7666,-120.2362,67.51,43,86,12.17
185,Bulgan,MN,2022-07-19 22:10:53,48.8125,103.5347,51.06,90,32,4.43
186,Hamilton,US,2022-07-19 22:09:24,39.1834,-84.5333,90.64,58,0,6.91
187,Vestmannaeyjar,IS,2022-07-19 22:10:54,63.4427,-20.2734,53.15,84,100,6.76
188,Tarko-Sale,RU,2022-07-19 22:10:54,64.9225,77.785,59.05,55,99,13.27
189,Torbat-E Jam,IR,2022-07-19 22:10:55,35.244,60.6225,81.99,19,0,20.8
190,Kijang,KR,2022-07-19 22:10:56,35.2442,129.2139,75.07,90,95,3.69
191,Butwal,NP,2022-07-19 22:10:56,27.7006,83.4484,79.12,89,88,3.33
192,Verkhovazhye,RU,2022-07-19 22:10:57,60.7472,42.0465,54.19,95,100,15.55
193,Angoche,MZ,2022-07-19 22:10:48,-16.2325,39.9086,69.22,78,0,3.09
194,Serta,PT,2022-07-19 22:10:58,39.8085,-8.0988,62.44,84,0,6.13
